m/z,intensity
1442.551100,2.14430000e+04
1442.551700,1.68550000e+04
1442.552100,2.09510000e+04
1442.552200,1.52820000e+04
1442.552500,3.48580000e+04
1442.553500,1.77940000e+04
1442.554500,1.62250000e+04
1442.555800,1.87210000e+04
1442.558000,1.48120000e+04
1442.558100,1.25160000e+04
1442.568200,1.27270000e+04
1442.797300,1.04350000e+04
1442.798700,8.38500000e+03
1442.799000,1.36270000e+04
1442.799500,8.94000000e+02
1442.799700,2.48680000e+04
1442.800000,1.34350000e+04
1442.800900,1.26180000e+04
1442.802400,1.31970000e+04
1442.803700,1.32280000e+04
1442.804000,1.33060000e+04
1442.804600,1.25630000e+04
1442.805800,2.53270000e+04
1442.806600,1.25380000e+04
1442.806900,1.41990000e+04
1442.807700,1.25850000e+04
1442.808100,1.02580000e+04
1442.808400,1.23310000e+04
1442.813200,1.51810000e+04
1442.820200,5.96700000e+03
1442.956500,7.47500000e+03
1442.958300,9.68000000e+02
1442.963400,6.09100000e+03
1442.965600,3.30100000e+03
1442.976000,7.93500000e+03
1443.212200,3.39000000e+03
1443.216400,1.62880000e+04
1443.217700,7.15200000e+03
1443.220500,2.53200000e+03
1443.221000,8.17400000e+03
1443.223400,8.66900000e+03
1443.226700,6.03100000e+03
1443.227200,5.89700000e+03
1443.231800,1.17700000e+04
1443.232600,3.62100000e+03
1443.233000,1.34600000e+04
1443.233200,1.02500000e+03
1443.234400,3.95500000e+03
1443.490900,7.45900000e+03
1447.115900,8.84300000e+03
1447.116000,3.56300000e+03
1447.116100,1.11140000e+04
1447.116200,1.35860000e+04
1447.116300,6.81600000e+03
1447.116400,6.08500000e+03
1447.116600,3.82500000e+03
1447.116800,6.98500000e+03
1447.120300,3.18200000e+03
1447.120400,1.25120000e+04
1447.121200,7.78200000e+03
1447.365200,1.11440000e+04
1447.368000,1.32340000e+04
1447.369800,8.88000000e+02
1447.371100,8.32900000e+03
1447.373200,7.69300000e+03
1447.373300,9.09600000e+03
1447.374000,3.48400000e+03
1447.374100,1.04400000e+03
1447.374300,3.32500000e+03
1447.625400,7.08300000e+03
1450.904000,1.09520000e+04
1450.908400,2.23200000e+03
1450.909000,7.39800000e+03
1450.912900,6.89100000e+03
1450.913500,9.84500000e+03
1450.917100,2.50800000e+03
1450.917400,4.73700000e+03
1451.160000,9.70000000e+02
1451.162100,3.72300000e+03
1451.162200,9.76000000e+02
1451.162300,4.01300000e+03
1451.162400,3.09400000e+03
1451.162500,2.53800000e+03
1451.163400,6.67200000e+03
1451.164300,1.13790000e+04
1451.164400,6.55100000e+03
1451.164500,6.13600000e+03
1451.164800,8.24000000e+02
1451.165900,2.25700000e+03
1451.166000,9.53000000e+03
1451.166100,1.88300000e+03
1451.166200,5.18400000e+03
1451.166400,8.63000000e+02
1451.166600,5.62100000e+03
