m/z,intensity
2560.751500,4.96800000e+03
2560.753700,7.73000000e+02
2560.762400,1.53800000e+03
2560.766800,2.89800000e+03
2560.791500,1.25600000e+03
2560.793600,1.46000000e+03
2560.798800,3.27900000e+03
2560.803400,3.49800000e+03
2560.808500,4.60000000e+02
2560.837600,1.08000000e+03
2560.842100,2.27800000e+03
2560.844400,4.72000000e+03
2560.845500,1.52800000e+03
2560.848500,8.78000000e+02
2560.852400,4.38000000e+02
2560.858400,9.65000000e+02
2560.859600,2.79200000e+03
2560.861800,1.11800000e+03
2560.880500,2.10200000e+03
2560.886200,2.49400000e+03
2560.889800,1.38800000e+03
2560.898500,1.53500000e+03
2560.906100,2.68900000e+03
2560.908600,4.65200000e+03
2560.911600,1.54100000e+03
2560.913300,1.10600000e+03
2560.920800,2.21900000e+03
2560.923800,1.22000000e+03
2560.928100,1.12100000e+03
2560.932000,8.56000000e+02
2560.934000,4.60000000e+02
2560.934900,1.07200000e+03
2560.937600,1.12100000e+03
2560.939800,1.27900000e+03
2560.940600,1.46600000e+03
2560.947300,9.61000000e+02
2560.947500,1.17500000e+03
2560.950300,1.41600000e+03
2560.951100,1.13300000e+03
2560.953400,8.53000000e+02
2560.956100,4.44100000e+03
2560.957600,2.26000000e+03
2560.962100,5.85800000e+03
2560.968400,2.30500000e+03
2560.968900,4.63000000e+02
2560.971500,7.97100000e+03
2560.975600,3.05400000e+03
2560.978100,9.02000000e+02
2560.978900,1.41800000e+03
2560.984500,4.46400000e+03
2560.985000,1.69500000e+03
2560.990300,1.70400000e+03
2560.990800,2.54800000e+03
2560.991300,1.17800000e+03
2560.999000,1.07400000e+03
2561.002400,9.87000000e+02
2561.003000,1.06100000e+03
2561.003400,4.18000000e+02
2561.007700,9.01000000e+02
2561.012700,1.45700000e+03
2561.014600,1.63500000e+03
2561.015800,7.53000000e+02
2561.023100,3.95600000e+03
2561.024500,1.12200000e+03
2561.026100,1.61100000e+03
2561.026500,1.08300000e+03
2561.027400,8.67000000e+02
2561.030400,3.80100000e+03
2561.032200,1.21500000e+03
2561.036500,1.93600000e+03
2561.037600,1.86800000e+03
2561.041000,1.49900000e+03
2561.043400,2.00100000e+03
2561.054100,1.22600000e+03
2561.056700,1.37700000e+03
2561.060800,1.05900000e+03
2561.066000,1.30300000e+03
2561.077400,2.24800000e+03
2561.079700,8.48000000e+02
2561.082100,7.05000000e+02
2561.118500,4.42000000e+02
2561.118700,1.49000000e+03
2561.126900,1.04900000e+03
2561.127800,1.93700000e+03
2561.139000,2.97500000e+03
2561.177300,1.14900000e+03
2561.183200,2.21600000e+03
2561.192500,1.08600000e+03
2561.193900,7.95000000e+02
2561.195000,1.03300000e+03
2561.195400,1.54100000e+03
2561.198500,1.38100000e+03
2561.207100,7.87000000e+02
2561.210600,1.05200000e+03
2561.212700,1.78600000e+03
2561.212800,2.88200000e+03
2561.214500,6.23000000e+02
2561.214800,3.64300000e+03
2561.217700,1.49900000e+03
2561.223700,2.57100000e+03
2561.226400,1.89500000e+03
2561.226500,2.76500000e+03
2561.227300,1.57100000e+03
2561.227900,2.50900000e+03
2561.230000,1.73400000e+03
2561.230200,9.26000000e+02
2561.230300,1.86100000e+03
2561.231100,6.82000000e+02
2561.236400,1.62200000e+03
2561.241400,4.60000000e+02
2561.241700,9.19000000e+02
2561.244900,1.00700000e+03
2561.246300,2.23400000e+03
2561.248200,1.69900000e+03
2561.250300,2.01400000e+03
2561.251000,9.24000000e+02
2561.251100,1.00300000e+03
2561.251700,2.42600000e+03
2561.258000,1.93500000e+03
2561.258500,1.51100000e+03
2561.259200,1.11100000e+03
2561.260600,7.26000000e+02
2561.261100,1.80700000e+03
2561.262600,7.30000000e+02
2561.263000,2.65500000e+03
2561.264700,1.62700000e+03
2561.266600,3.65000000e+02
2561.278300,1.29600000e+03
2561.279000,4.30000000e+02
2561.279100,8.42000000e+02
2561.279200,9.02000000e+02
2561.279800,7.77000000e+02
2561.280800,1.78700000e+03
2561.284100,1.92900000e+03
2561.290700,1.03700000e+03
2561.295100,1.70800000e+03
2561.296100,9.87000000e+02
2561.298200,7.53000000e+02
2561.298300,1.61000000e+03
2561.306000,1.88900000e+03
2561.307800,1.26100000e+03
2561.310300,1.96400000e+03
2561.311500,1.17700000e+03
2561.316200,5.81000000e+02
2561.322000,7.32000000e+02
2561.352900,1.66700000e+03
2561.402400,1.91100000e+03
2561.423700,1.07800000e+03
2561.451400,1.21200000e+03
2561.469300,1.51100000e+03
2561.471400,2.56600000e+03
2561.485200,2.79300000e+03
2561.487500,1.76800000e+03
2561.490200,2.31400000e+03
2561.501700,1.45300000e+03
2561.502900,1.71400000e+03
2561.505200,3.55900000e+03
2561.507600,9.69000000e+02
2561.518900,1.19200000e+03
2561.520000,1.78200000e+03
2561.525400,1.62600000e+03
2561.528000,1.65300000e+03
2561.535800,9.57000000e+02
2561.540000,1.39700000e+03
2561.552600,9.78000000e+02
2561.570300,1.82900000e+03
2561.608700,1.45800000e+03
2561.654300,2.59300000e+03
2561.694200,1.68800000e+03
2561.708300,6.78000000e+02
2561.711100,9.73000000e+02
2561.711400,9.07000000e+02
2561.720000,1.38700000e+03
2561.728900,8.29000000e+02
2561.733900,9.40000000e+02
2561.742000,1.52000000e+03
2561.745600,2.03700000e+03
2561.750800,1.62900000e+03
2561.759200,9.01000000e+02
2561.760000,1.83200000e+03
2561.760300,1.44800000e+03
2561.763600,5.61000000e+02
2561.769900,1.30300000e+03
2561.771200,2.29000000e+03
2561.776000,6.81000000e+02
2561.777600,1.05900000e+03
2561.778200,9.69000000e+02
2561.778700,2.80600000e+03
2561.779500,1.08700000e+03
2561.781100,1.26200000e+03
2561.781200,9.36000000e+02
2561.781700,1.08100000e+03
2561.786000,9.75000000e+02
2561.786400,1.72500000e+03
2561.791600,9.84000000e+02
2561.792700,9.77000000e+02
2561.793100,4.89000000e+02
2561.795100,1.77600000e+03
2561.795300,1.80900000e+03
2561.798800,1.99500000e+03
2561.799500,2.46700000e+03
2561.800100,2.02700000e+03
2561.808500,1.38800000e+03
2561.810100,6.64000000e+02
2561.810500,6.97000000e+02
2561.811000,1.33100000e+03
2561.811900,2.20400000e+03
2561.813400,2.49200000e+03
2561.814900,1.01600000e+03
2561.826100,1.01300000e+03
2561.827700,1.21600000e+03
2561.833700,1.62200000e+03
2561.837600,1.76600000e+03
2561.837700,2.20400000e+03
2561.852100,1.03900000e+03
2561.855600,7.35000000e+02
2561.856800,1.45800000e+03
2561.865900,2.30700000e+03
2561.869200,6.00000000e+02
2561.873200,1.03700000e+03
2561.877200,1.95800000e+03
2561.888500,1.43500000e+03
2561.896800,1.22400000e+03
2561.973400,6.15000000e+02
2561.973700,9.47000000e+02
2561.986900,1.51800000e+03
2562.021700,1.10500000e+03
2562.032400,8.99000000e+02
2562.036400,1.36700000e+03
2562.039500,2.72200000e+03
2562.049100,1.22000000e+03
2562.060100,1.48800000e+03
2562.061400,1.00900000e+03
2562.064600,1.99500000e+03
2562.067900,7.82000000e+02
2562.068200,1.26700000e+03
2562.078800,3.38800000e+03
2562.089900,8.87000000e+02
2562.261300,1.49400000e+03
2562.272600,1.57400000e+03
2562.294200,7.23000000e+02
2562.308800,1.85300000e+03
2562.322100,2.05900000e+03
2562.336300,1.09800000e+03
2562.349900,1.61000000e+03
2562.351600,1.29000000e+03
2562.351900,1.15600000e+03
2562.366800,1.47200000e+03
2562.603400,9.88000000e+02
2562.634400,3.16600000e+03
2562.636200,1.91600000e+03
2562.652100,2.38100000e+03
2562.654100,1.94900000e+03
2562.841200,1.74500000e+03
2562.862600,1.50100000e+03
2563.148400,1.27500000e+03
